MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	desechar	desechar, desecha	33	desechar-00569870-v			u.c.StringArray(elements=['prnl. afligirse mucho, consumirse, estar sumamente impaciente o inquieto. (rae)'])
OneWordMV	desenlace		5	desenlace-06743867-n	diagnóstico médico-00153105-n		
OneWordMV	desfallecer		33	desfallecimiento-14016361-n			
OneWordMV	desgarrador	desgarrar, desgarrador	33	desgarrar-00292672-v	desgarrador-01365544-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desgarrador-01711724-a		
OneWordMV	desgarrar	desgarrar, desgarrador	33	desgarrar-00292672-v	desgarrador-01365544-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desgarrador-01711724-a		
OneWordMV	desgaste		2	desgaste-13423615-n			u.c.StringArray(elements=['perder fuerza, vigor o poder. (rae)'])
OneWordMV	desgracia		2	desgracia-00217773-n			
OneWordMV	deshacer(se)		11	deshacer-00447309-v	deshacer-01564144-v		
OneWordMV	desolado		32, 36	desolado-01242750-a	desolador-01229561-a		
OneWordMV	desorientado		38	orientación-13828075-n			
OneWordMV	despedir	despedirse del mundo	26	despedirse-00900961-v	morir-00358431-v		
OneWordMV	despejar		7	despejar-00181559-v	despejarse-02771169-v		
OneWordMV	destrozado	destrozar, destrozado	33, 11, 22	destrozar-00333758-v	destrozar-00260311-v		
OneWordMV	destrozar	destrozar, destrozado	33, 11, 21	destrozar-00333758-v	destrozar-00260311-v		
OneWordMV	detener		12	detener-01859221-v			
Frame_RoleMismatch	detener	(el cáncer) no debe detener tu vida.					
OneWordMV	devastado	devastador, devastado	3	devastar-00388635-v	devastar-00260311-v		
OneWordMV	devastador	devastador, devastado	3	devastar-00388635-v	devastar-00260311-v		
OneWordMV	devolver	sueño que mi cuerpo me devuelva la fertilidad					
Frame_RoleMismatch	devolver	sueño que mi cuerpo me devuelva la fertilidad					
OneWordMV	difícil		35		dif%C3%ADcil-00744916-a	u.c.StringArray(elements=['que presenta obstáculos (‖ impedimentos). (rae)'])	
OneWordMV	digerir	digerir noticias	53	alimentación-00838367-n"	digerir-00590924-v		
OneWordMV	directo	respuesta directa, pregunta directa, ser directo					
OneWordMV	dirigir		72	dirigir-01931768-v	dirigir-01151889-v		
OneWordMV	diseminado	diseminar el cáncer					
OneWordMV	disipado	disipar el tumor					
OneWordMV	disminuir	disminuir el estrés					
OneWordMV	dolor		3	dolor-14322699-n	dolor-05833683-n		
OneWordMV	dormir	dormir el tumor					
OneWordMV	droga		6				
OneWordMV	durar		26	durar-02410175-v	durar-02614181-v		
OneWordMV	duro		2, 6, 23, 35, 21	duro-01152620-a	duro-00746047-a		
OneWordMV	echar	echar un poco de cabeza, echar un vistazo, echar una mano, dejar echo polvo					
OneWordMV	elevado						
OneWordMV	eliminación	eliminar, eliminación, eliminado	22, 11, 22	eliminar-00173338-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/eliminar-02482425-v	eliminar-00072989-v, matar, quitar		
